"Source:","C:\Users\natha\Documents\solar gators\BMS\BMS_r1\BMS_r1.sch"
"Date:","1/13/2020 7:18:05 PM"
"Tool:","Eeschema (5.1.5)-3"
"Component Count:","110"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C2","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C3","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C4","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C5","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C6","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C7","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C8","3.3u","Capacitor_SMD:CP_Elec_4x5.7","~","",""
"C9","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C10","0.1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C11","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C12","0.33u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C13","0.33u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C14","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C15","0.33u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C16","0.33u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C17","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C18","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C19","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C20","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C21","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C22","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C23","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C24","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C25","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C26","2.2u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C27","0.33u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C28","0.33u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C29","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C30","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C31","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C32","1u","Capacitor_SMD:C_0805_2012Metric","~","",""
"C33","0.47u","Capacitor_SMD:C_0805_2012Metric","~","",""
